tspp,session_num,session_index,session_length,type_of_day,hour24,month,five_first_attempts,all_first_attempts,total_solving_time,all_attempts,all_problems,performance,signup_duration
1.41497334797082,1.11394335230684,1.23044892137827,2.04532297878666,0,9.0,5.0,5.0,3.04218159451577,4.69585801867837,3.21298618473667,3.12287092286444,1,6.21749842045537
0.778151250383644,0.954242509439325,1.14612803567824,1.89209460269048,0,14.0,5.0,5.0,2.52504480703685,4.13328336586099,2.86093662070009,2.67486114073781,1,6.11738267293465
1.27875360095283,0.477121254719662,1.32221929473392,1.88081359228079,0,12.0,10.0,4.0,1.94448267215017,3.54045461367141,2.11394335230684,2.00860017176192,1,6.56022654511835
1.11394335230684,0.301029995663981,1.20411998265592,1.34242268082221,0,10.0,12.0,5.0,1.30102999566398,3.27554168840131,1.38021124171161,1.34242268082221,1,3.34811006848024
1.30102999566398,0.477121254719662,0.477121254719662,1.72427586960079,1,13.0,11.0,0.0,2.3747483460101,3.82620442349925,2.73719264270474,2.54654266347813,0,6.82141087080469
1.70757017609794,0.301029995663981,0.903089986991944,1.07918124604762,0,11.0,2.0,3.0,0.903089986991944,2.7427251313047,1.92941892571429,1.07918124604762,0,2.83758843823551
2.20139712432045,1.0,1.23044892137827,1.32221929473392,1,8.0,7.0,2.0,1.94939000664491,4.38592785412534,2.25527250510331,2.13033376849501,1,6.08210180586913
1.34242268082221,0.301029995663981,1.34242268082221,1.6232492903979,0,21.0,9.0,2.0,1.55630250076729,2.90308998699194,1.76342799356294,1.6232492903979,1,3.02325245963371
2.11058971029925,1.0,1.68124123737559,1.75587485567249,0,17.0,5.0,5.0,3.04218159451577,4.69585801867837,3.21298618473667,3.12287092286444,1,6.21749842045537
1.38021124171161,0.778151250383644,0.602059991327962,0.903089986991944,0,8.0,5.0,2.0,1.68124123737559,3.25333800532611,2.10380372095596,1.85733249643127,1,6.49292737177638
1.23044892137827,1.14612803567824,0.903089986991944,1.32221929473392,0,22.0,2.0,3.0,2.64345267648619,4.1796092337262,2.87098881376058,2.74663419893758,1,6.28586975360291
1.34242268082221,1.25527250510331,1.79239168949825,2.13672056715641,0,9.0,6.0,5.0,3.04218159451577,4.69585801867837,3.21298618473667,3.12287092286444,1,6.21749842045537
0.698970004336019,0.845098040014257,1.56820172406699,1.83250891270624,0,10.0,10.0,1.0,2.13987908640124,4.00753441789726,2.39794000867204,2.24797326636181,1,7.05701223070485
